PrevToken	Token	NextToken	Label
garlic	?	<END>	I-NEW
<START>	Lets	add	O
Lets	add	pasta	O
add	pasta	<END>	B-NEW
<START>	Id	like	O
Id	like	to	O
like	to	add	O
to	add	egg	O
add	egg	<END>	B-NEW
<START>	Exclude	egg	O
Exclude	egg	from	B-OLD
egg	from	recipe	O
from	recipe	<END>	O
<START>	Also	,	O
Also	,	add	O
,	add	carrots	O
add	carrots	<END>	B-NEW
<START>	Include	tofu	O
Include	tofu	to	B-NEW
tofu	to	this	O
to	this	meal	O
this	meal	<END>	B-NEW
<START>	I	dont	O
I	dont	want	O
dont	want	beef	O
want	beef	<END>	O
<START>	Change	beans	O
Change	beans	to	B-OLD
beans	to	pasta	O
to	pasta	<END>	B-OLD
<START>	Try	using	O
Try	using	chicken	O
using	chicken	instead	O
chicken	instead	of	O
instead	of	flour	O
of	flour	<END>	B-OLD
<START>	Please	skip	O
Please	skip	carrots	O
skip	carrots	<END>	B-OLD
<START>	Can	you	O
Can	you	include	O
you	include	broccoli	O
include	broccoli	?	B-NEW
broccoli	?	<END>	I-NEW
<START>	Swap	honey	O
Swap	honey	for	B-OLD
honey	for	sugar	O
for	sugar	<END>	B-NEW
<START>	Can	I	O
Can	I	use	O
I	use	egg	O
use	egg	instead	B-NEW
egg	instead	of	O
instead	of	onion	O
of	onion	?	B-OLD
onion	?	<END>	I-OLD
<START>	Include	onion	O
Include	onion	to	B-NEW
onion	to	this	O
to	this	meal	O
this	meal	<END>	B-NEW
<START>	Also	,	O
Also	,	add	O
,	add	carrots	O
add	carrots	<END>	B-NEW
<START>	Exclude	butter	O
Exclude	butter	from	B-OLD
butter	from	recipe	O
from	recipe	<END>	O
<START>	Avoid	using	O
Avoid	using	beef	O
using	beef	<END>	B-OLD
<START>	Replace	pasta	O
Replace	pasta	with	B-OLD
pasta	with	egg	O
with	egg	<END>	B-NEW
<START>	Can	you	O
Can	you	take	O
you	take	out	O
take	out	almond milk	O
out	almond milk	?	B-OLD
almond milk	?	<END>	I-OLD
<START>	Id	like	O
Id	like	to	O
like	to	add	O
to	add	flour	O
add	flour	<END>	B-NEW
<START>	Change	bacon	O
Change	bacon	to	B-OLD
bacon	to	tofu	O
to	tofu	<END>	B-OLD
<START>	Please	add	O
Please	add	almond milk	O
add	almond milk	<END>	B-NEW
<START>	Is	it	O
Is	it	okay	O
it	okay	to	O
okay	to	switch	O
to	switch	garlic	O
switch	garlic	with	B-OLD
garlic	with	almond milk	O
with	almond milk	?	B-NEW
almond milk	?	<END>	I-NEW
<START>	Substitute	tofu	O
Substitute	tofu	with	B-OLD
tofu	with	chicken	O
with	chicken	<END>	B-NEW
<START>	Put	some	O
Put	some	honey	O
some	honey	in	B-NEW
honey	in	the	O
in	the	recipe	O
the	recipe	<END>	O
<START>	Exclude	broccoli	O
Exclude	broccoli	from	B-OLD
broccoli	from	recipe	O
from	recipe	<END>	O
<START>	I	prefer	O
I	prefer	without	O
prefer	without	broccoli	O
without	broccoli	<END>	B-OLD
<START>	Leave	out	O
Leave	out	the	O
out	the	milk	O
the	milk	<END>	B-OLD
<START>	Put	some	O
Put	some	pasta	O
some	pasta	in	B-NEW
pasta	in	the	O
in	the	recipe	O
the	recipe	<END>	O
<START>	Could	you	O
Could	you	add	O
you	add	lettuce	O
add	lettuce	?	B-NEW
lettuce	?	<END>	I-NEW
<START>	Exchange	beans	O
Exchange	beans	for	B-OLD
beans	for	sugar	O
for	sugar	<END>	B-NEW
<START>	Can	I	O
Can	I	use	O
I	use	flour	O
use	flour	instead	B-NEW
flour	instead	of	O
instead	of	chicken	O
of	chicken	?	B-OLD
chicken	?	<END>	I-OLD
<START>	Try	using	O
Try	using	spinach	O
using	spinach	instead	O
spinach	instead	of	O
instead	of	cheese	O
of	cheese	<END>	B-OLD
<START>	Please	add	O
Please	add	chicken	O
add	chicken	<END>	B-NEW
<START>	I	want	O
I	want	to	O
want	to	add	O
to	add	pasta	O
add	pasta	<END>	B-NEW
<START>	Swap	peanuts	O
Swap	peanuts	for	B-OLD
peanuts	for	spinach	O
for	spinach	<END>	B-NEW
<START>	Try	using	O
Try	using	milk	O
using	milk	instead	O
milk	instead	of	O
instead	of	onion	O
of	onion	<END>	B-OLD
<START>	Exclude	beef	O
Exclude	beef	from	B-OLD
beef	from	recipe	O
from	recipe	<END>	O
<START>	Can	you	O
Can	you	take	O
you	take	out	O
take	out	tofu	O
out	tofu	?	B-OLD
tofu	?	<END>	I-OLD
<START>	Lets	add	O
Lets	add	carrots	O
add	carrots	<END>	B-NEW
<START>	Include	beans	O
Include	beans	to	B-NEW
beans	to	this	O
to	this	meal	O
this	meal	<END>	B-NEW
<START>	I	want	O
I	want	to	O
want	to	add	O
to	add	lettuce	O
add	lettuce	<END>	B-NEW
<START>	Id	rather	O
Id	rather	use	O
rather	use	flour	O
use	flour	than	B-NEW
flour	than	tofu	O
than	tofu	<END>	B-NEW
<START>	Remove	spinach	O
Remove	spinach	<END>	B-OLD
<START>	Substitute	carrots	O
Substitute	carrots	with	B-OLD
carrots	with	honey	O
with	honey	<END>	B-NEW
<START>	Exclude	milk	O
Exclude	milk	from	B-OLD
milk	from	recipe	O
from	recipe	<END>	O
<START>	Id	like	O
Id	like	to	O
like	to	add	O
to	add	bacon	O
add	bacon	<END>	B-NEW
<START>	Is	it	O
Is	it	okay	O
it	okay	to	O
okay	to	switch	O
to	switch	almond milk	O
switch	almond milk	with	B-OLD
almond milk	with	chicken	O
with	chicken	?	B-NEW
chicken	?	<END>	I-NEW
<START>	Use	carrots	O
Use	carrots	in	B-NEW
carrots	in	place	O
in	place	of	B-NEW
place	of	pasta	O
of	pasta	<END>	B-NEW
<START>	Dont	add	O
Dont	add	pasta	O
add	pasta	<END>	B-NEW
<START>	Can	you	O
Can	you	include	O
you	include	honey	O
include	honey	?	B-NEW
honey	?	<END>	I-NEW
<START>	I	dont	O
I	dont	want	O
dont	want	chicken	O
want	chicken	<END>	O
<START>	Can	you	O
Can	you	include	O
you	include	broccoli	O
include	broccoli	?	B-NEW
broccoli	?	<END>	I-NEW
<START>	Exclude	almond milk	O
Exclude	almond milk	from	B-OLD
almond milk	from	recipe	O
from	recipe	<END>	O
<START>	Avoid	using	O
Avoid	using	flour	O
using	flour	<END>	B-OLD
<START>	Use	broccoli	O
Use	broccoli	in	B-NEW
broccoli	in	place	O
in	place	of	B-NEW
place	of	beef	O
of	beef	<END>	B-NEW
<START>	I	want	O
I	want	to	O
want	to	add	O
to	add	beef	O
add	beef	<END>	B-NEW
<START>	Id	rather	O
Id	rather	use	O
rather	use	tomatoes	O
use	tomatoes	than	B-NEW
tomatoes	than	peanuts	O
than	peanuts	<END>	B-NEW
<START>	Id	like	O
Id	like	to	O
like	to	add	O
to	add	broccoli	O
add	broccoli	<END>	B-NEW
<START>	Please	skip	O
Please	skip	sugar	O
skip	sugar	<END>	B-OLD
<START>	Include	beef	O
Include	beef	to	B-NEW
beef	to	this	O
to	this	meal	O
this	meal	<END>	B-NEW
<START>	Avoid	using	O
Avoid	using	chicken	O
using	chicken	<END>	B-OLD
<START>	Use	flour	O
Use	flour	in	B-NEW
flour	in	place	O
in	place	of	B-NEW
place	of	almond milk	O
of	almond milk	<END>	B-NEW
<START>	I	dont	O
I	dont	want	O
dont	want	carrots	O
want	carrots	<END>	O
<START>	Please	skip	O
Please	skip	tomatoes	O
skip	tomatoes	<END>	B-OLD
<START>	Dont	add	O
Dont	add	yogurt	O
add	yogurt	<END>	B-NEW
<START>	Can	I	O
Can	I	use	O
I	use	beef	O
use	beef	instead	B-NEW
beef	instead	of	O
instead	of	honey	O
of	honey	?	B-OLD
honey	?	<END>	I-OLD
<START>	Please	skip	O
Please	skip	chicken	O
skip	chicken	<END>	B-OLD
<START>	Add	a	O
Add	a	bit	O
a	bit	of	O
bit	of	beef	O
of	beef	<END>	B-NEW
<START>	Change	egg	O
Change	egg	to	B-OLD
egg	to	rice	O
to	rice	<END>	B-OLD
<START>	Can	I	O
Can	I	use	O
I	use	pasta	O
use	pasta	instead	B-NEW
pasta	instead	of	O
instead	of	tomatoes	O
of	tomatoes	?	B-OLD
tomatoes	?	<END>	I-OLD
<START>	Avoid	using	O
Avoid	using	flour	O
using	flour	<END>	B-OLD
<START>	Exchange	carrots	O
Exchange	carrots	for	B-OLD
carrots	for	yogurt	O
for	yogurt	<END>	B-NEW
<START>	No	egg	O
No	egg	,	B-OLD
egg	,	please	I-OLD
,	please	<END>	O
<START>	Please	add	O
Please	add	yogurt	O
add	yogurt	<END>	B-NEW
<START>	Try	using	O
Try	using	flour	O
using	flour	instead	O
flour	instead	of	O
instead	of	honey	O
of	honey	<END>	B-OLD
<START>	Change	cheese	O
Change	cheese	to	B-OLD
cheese	to	broccoli	O
to	broccoli	<END>	B-OLD
<START>	Please	add	O
Please	add	onion	O
add	onion	<END>	B-NEW
<START>	Please	add	O
Please	add	carrots	O
add	carrots	<END>	B-NEW
<START>	Id	rather	O
Id	rather	use	O
rather	use	garlic	O
use	garlic	than	B-NEW
garlic	than	spinach	O
than	spinach	<END>	B-NEW
<START>	Put	some	O
Put	some	cheese	O
some	cheese	in	B-NEW
cheese	in	the	O
in	the	recipe	O
the	recipe	<END>	O
<START>	Can	you	O
Can	you	take	O
you	take	out	O
take	out	spinach	O
out	spinach	?	B-OLD
spinach	?	<END>	I-OLD
<START>	Remove	lettuce	O
Remove	lettuce	<END>	B-OLD
<START>	Change	rice	O
Change	rice	to	B-OLD
rice	to	garlic	O
to	garlic	<END>	B-OLD
<START>	Leave	out	O
Leave	out	the	O
out	the	egg	O
the	egg	<END>	B-OLD
<START>	Exclude	almond milk	O
Exclude	almond milk	from	B-OLD
almond milk	from	recipe	O
from	recipe	<END>	O
<START>	Use	pasta	O
Use	pasta	in	B-NEW
pasta	in	place	O
in	place	of	B-NEW
place	of	flour	O
of	flour	<END>	B-NEW
<START>	Remove	garlic	O
Remove	garlic	<END>	B-OLD
<START>	I	dont	O
I	dont	want	O
dont	want	bacon	O
want	bacon	<END>	O
<START>	Exclude	pasta	O
Exclude	pasta	from	B-OLD
pasta	from	recipe	O
from	recipe	<END>	O
<START>	Id	like	O
Id	like	to	O
like	to	add	O
to	add	carrots	O
add	carrots	<END>	B-NEW
<START>	Leave	out	O
Leave	out	the	O
out	the	butter	O
the	butter	<END>	B-OLD
<START>	Try	using	O
Try	using	beef	O
using	beef	instead	O
beef	instead	of	O
instead	of	broccoli	O
of	broccoli	<END>	B-OLD
<START>	Please	add	O
Please	add	rice	O
add	rice	<END>	B-NEW
<START>	Is	it	O
Is	it	okay	O
it	okay	to	O
okay	to	switch	O
to	switch	beef	O
switch	beef	with	B-OLD
beef	with	rice	O
with	rice	?	B-NEW
rice	?	<END>	I-NEW
<START>	Replace	rice	O
Replace	rice	with	B-OLD
rice	with	broccoli	O
with	broccoli	<END>	B-NEW
<START>	Replace	flour	O
Replace	flour	with	B-OLD
flour	with	garlic	O
with	garlic	<END>	B-NEW
<START>	Change	beef	O
Change	beef	to	B-OLD
beef	to	rice	O
to	rice	<END>	B-OLD
<START>	Substitute	butter	O
Substitute	butter	with	B-OLD
butter	with	peanuts	O
with	peanuts	<END>	B-NEW
<START>	Lets	add	O
Lets	add	tofu	O
add	tofu	<END>	B-NEW
<START>	Dont	add	O
Dont	add	broccoli	O
add	broccoli	<END>	B-NEW
<START>	Is	it	O
Is	it	okay	O
it	okay	to	O
okay	to	switch	O
to	switch	beef	O
switch	beef	with	B-OLD
beef	with	cheese	O
with	cheese	?	B-NEW
cheese	?	<END>	I-NEW
<START>	Replace	chicken	O
Replace	chicken	with	B-OLD
chicken	with	peanuts	O
with	peanuts	<END>	B-NEW
<START>	Can	you	O
Can	you	include	O
you	include	bacon	O
include	bacon	?	B-NEW
bacon	?	<END>	I-NEW
<START>	Also	,	O
Also	,	add	O
,	add	garlic	O
add	garlic	<END>	B-NEW
<START>	I	dont	O
I	dont	want	O
dont	want	tomatoes	O
want	tomatoes	<END>	O
<START>	No	tofu	O
No	tofu	,	B-OLD
tofu	,	please	I-OLD
,	please	<END>	O
<START>	Id	like	O
Id	like	to	O
like	to	add	O
to	add	egg	O
add	egg	<END>	B-NEW
<START>	I	dont	O
I	dont	want	O
dont	want	spinach	O
want	spinach	<END>	O
<START>	Can	you	O
Can	you	include	O
you	include	rice	O
include	rice	?	B-NEW
rice	?	<END>	I-NEW
<START>	Leave	out	O
Leave	out	the	O
out	the	rice	O
the	rice	<END>	B-OLD
<START>	Can	you	O
Can	you	take	O
you	take	out	O
take	out	tomatoes	O
out	tomatoes	?	B-OLD
tomatoes	?	<END>	I-OLD
<START>	Can	I	O
Can	I	use	O
I	use	chicken	O
use	chicken	instead	B-NEW
chicken	instead	of	O
instead	of	pasta	O
of	pasta	?	B-OLD
pasta	?	<END>	I-OLD
<START>	I	dont	O
I	dont	want	O
dont	want	egg	O
want	egg	<END>	O
<START>	Try	using	O
Try	using	chicken	O
using	chicken	instead	O
chicken	instead	of	O
instead	of	yogurt	O
of	yogurt	<END>	B-OLD
<START>	Can	you	O
Can	you	take	O
you	take	out	O
take	out	egg	O
out	egg	?	B-OLD
egg	?	<END>	I-OLD
<START>	Please	skip	O
Please	skip	beans	O
skip	beans	<END>	B-OLD
<START>	Replace	bacon	O
Replace	bacon	with	B-OLD
bacon	with	tomatoes	O
with	tomatoes	<END>	B-NEW
<START>	Substitute	tofu	O
Substitute	tofu	with	B-OLD
tofu	with	sugar	O
with	sugar	<END>	B-NEW
<START>	Exchange	milk	O
Exchange	milk	for	B-OLD
milk	for	tomatoes	O
for	tomatoes	<END>	B-NEW
<START>	Id	like	O
Id	like	to	O
like	to	add	O
to	add	garlic	O
add	garlic	<END>	B-NEW
<START>	Remove	carrots	O
Remove	carrots	<END>	B-OLD
<START>	No	pasta	O
No	pasta	,	B-OLD
pasta	,	please	I-OLD
,	please	<END>	O
<START>	I	prefer	O
I	prefer	without	O
prefer	without	spinach	O
without	spinach	<END>	B-OLD
<START>	Is	it	O
Is	it	okay	O
it	okay	to	O
okay	to	switch	O
to	switch	peanuts	O
switch	peanuts	with	B-OLD
peanuts	with	almond milk	O
with	almond milk	?	B-NEW
almond milk	?	<END>	I-NEW
<START>	Try	using	O
Try	using	flour	O
using	flour	instead	O
flour	instead	of	O
instead	of	cheese	O
of	cheese	<END>	B-OLD
<START>	Swap	peanuts	O
Swap	peanuts	for	B-OLD
peanuts	for	onion	O
for	onion	<END>	B-NEW
<START>	Exclude	onion	O
Exclude	onion	from	B-OLD
onion	from	recipe	O
from	recipe	<END>	O
<START>	Can	I	O
Can	I	use	O
I	use	egg	O
use	egg	instead	B-NEW
egg	instead	of	O
instead	of	milk	O
of	milk	?	B-OLD
milk	?	<END>	I-OLD
<START>	Lets	add	O
Lets	add	cheese	O
add	cheese	<END>	B-NEW
<START>	Can	you	O
Can	you	include	O
you	include	onion	O
include	onion	?	B-NEW
onion	?	<END>	I-NEW
<START>	Put	some	O
Put	some	bacon	O
some	bacon	in	B-NEW
bacon	in	the	O
in	the	recipe	O
the	recipe	<END>	O
<START>	Substitute	carrots	O
Substitute	carrots	with	B-OLD
carrots	with	beans	O
with	beans	<END>	B-NEW
<START>	Leave	out	O
Leave	out	the	O
out	the	onion	O
the	onion	<END>	B-OLD
<START>	Lets	add	O
Lets	add	peanuts	O
add	peanuts	<END>	B-NEW
<START>	Remove	carrots	O
Remove	carrots	<END>	B-OLD
<START>	Could	you	O
Could	you	add	O
you	add	tomatoes	O
add	tomatoes	?	B-NEW
tomatoes	?	<END>	I-NEW
<START>	Id	like	O
Id	like	to	O
like	to	add	O
to	add	chicken	O
add	chicken	<END>	B-NEW
<START>	I	want	O
I	want	to	O
want	to	add	O
to	add	tofu	O
add	tofu	<END>	B-NEW
<START>	Put	some	O
Put	some	honey	O
some	honey	in	B-NEW
honey	in	the	O
in	the	recipe	O
the	recipe	<END>	O
<START>	Is	it	O
Is	it	okay	O
it	okay	to	O
okay	to	switch	O
to	switch	bacon	O
switch	bacon	with	B-OLD
bacon	with	spinach	O
with	spinach	?	B-NEW
spinach	?	<END>	I-NEW
<START>	Dont	add	O
Dont	add	sugar	O
add	sugar	<END>	B-NEW
<START>	I	want	O
I	want	to	O
want	to	add	O
to	add	bacon	O
add	bacon	<END>	B-NEW
<START>	Can	I	O
Can	I	use	O
I	use	cheese	O
use	cheese	instead	B-NEW
cheese	instead	of	O
instead	of	honey	O
of	honey	?	B-OLD
honey	?	<END>	I-OLD
<START>	Please	skip	O
Please	skip	rice	O
skip	rice	<END>	B-OLD
<START>	Can	I	O
Can	I	use	O
I	use	beef	O
use	beef	instead	B-NEW
beef	instead	of	O
instead	of	flour	O
of	flour	?	B-OLD
flour	?	<END>	I-OLD
<START>	Could	you	O
Could	you	add	O
you	add	butter	O
add	butter	?	B-NEW
butter	?	<END>	I-NEW
<START>	I	want	O
I	want	to	O
want	to	add	O
to	add	beef	O
add	beef	<END>	B-NEW
<START>	Dont	add	O
Dont	add	sugar	O
add	sugar	<END>	B-NEW
<START>	I	prefer	O
I	prefer	without	O
prefer	without	pasta	O
without	pasta	<END>	B-OLD
<START>	Substitute	almond milk	O
Substitute	almond milk	with	B-OLD
almond milk	with	flour	O
with	flour	<END>	B-NEW
<START>	Put	some	O
Put	some	carrots	O
some	carrots	in	B-NEW
carrots	in	the	O
in	the	recipe	O
the	recipe	<END>	O
<START>	Change	spinach	O
Change	spinach	to	B-OLD
spinach	to	broccoli	O
to	broccoli	<END>	B-OLD
<START>	I	want	O
I	want	to	O
want	to	add	O
to	add	beans	O
add	beans	<END>	B-NEW
<START>	I	prefer	O
I	prefer	without	O
prefer	without	flour	O
without	flour	<END>	B-OLD
<START>	Avoid	using	O
Avoid	using	beans	O
using	beans	<END>	B-OLD
<START>	Can	you	O
Can	you	include	O
you	include	milk	O
include	milk	?	B-NEW
milk	?	<END>	I-NEW
<START>	Avoid	using	O
Avoid	using	lettuce	O
using	lettuce	<END>	B-OLD
<START>	Id	rather	O
Id	rather	use	O
rather	use	egg	O
use	egg	than	B-NEW
egg	than	sugar	O
than	sugar	<END>	B-NEW
<START>	Put	some	O
Put	some	honey	O
some	honey	in	B-NEW
honey	in	the	O
in	the	recipe	O
the	recipe	<END>	O
<START>	I	want	O
I	want	to	O
want	to	add	O
to	add	carrots	O
add	carrots	<END>	B-NEW
<START>	I	prefer	O
I	prefer	without	O
prefer	without	onion	O
without	onion	<END>	B-OLD
<START>	Swap	honey	O
Swap	honey	for	B-OLD
honey	for	tomatoes	O
for	tomatoes	<END>	B-NEW
<START>	Put	some	O
Put	some	tofu	O
some	tofu	in	B-NEW
tofu	in	the	O
in	the	recipe	O
the	recipe	<END>	O
<START>	Try	using	O
Try	using	peanuts	O
using	peanuts	instead	O
peanuts	instead	of	O
instead	of	cheese	O
of	cheese	<END>	B-OLD
<START>	Lets	add	O
Lets	add	tomatoes	O
add	tomatoes	<END>	B-NEW
<START>	Use	milk	O
Use	milk	in	B-NEW
milk	in	place	O
in	place	of	B-NEW
place	of	sugar	O
of	sugar	<END>	B-NEW
<START>	Add	a	O
Add	a	bit	O
a	bit	of	O
bit	of	bacon	O
of	bacon	<END>	B-NEW
<START>	Lets	add	O
Lets	add	butter	O
add	butter	<END>	B-NEW
<START>	Is	it	O
Is	it	okay	O
it	okay	to	O
okay	to	switch	O
to	switch	beans	O
switch	beans	with	B-OLD
beans	with	peanuts	O
with	peanuts	?	B-NEW
peanuts	?	<END>	I-NEW
<START>	Can	you	O
Can	you	include	O
you	include	beef	O
include	beef	?	B-NEW
beef	?	<END>	I-NEW
<START>	Use	yogurt	O
Use	yogurt	in	B-NEW
yogurt	in	place	O
in	place	of	B-NEW
place	of	broccoli	O
of	broccoli	<END>	B-NEW
<START>	Add	a	O
Add	a	bit	O
a	bit	of	O
bit	of	almond milk	O
of	almond milk	<END>	B-NEW
<START>	Can	you	O
Can	you	include	O
you	include	rice	O
include	rice	?	B-NEW
rice	?	<END>	I-NEW
<START>	Exclude	onion	O
Exclude	onion	from	B-OLD
onion	from	recipe	O
from	recipe	<END>	O
<START>	Exclude	almond milk	O
Exclude	almond milk	from	B-OLD
almond milk	from	recipe	O
from	recipe	<END>	O
<START>	Id	rather	O
Id	rather	use	O
rather	use	beans	O
use	beans	than	B-NEW
beans	than	chicken	O
than	chicken	<END>	B-NEW
<START>	Exclude	almond milk	O
Exclude	almond milk	from	B-OLD
almond milk	from	recipe	O
from	recipe	<END>	O
<START>	Also	,	O
Also	,	add	O
,	add	honey	O
add	honey	<END>	B-NEW
<START>	I	want	O
I	want	to	O
want	to	add	O
to	add	beef	O
add	beef	<END>	B-NEW
<START>	Avoid	using	O
Avoid	using	carrots	O
using	carrots	<END>	B-OLD
<START>	Please	skip	O
Please	skip	chicken	O
skip	chicken	<END>	B-OLD
<START>	Leave	out	O
Leave	out	the	O
out	the	chicken	O
the	chicken	<END>	B-OLD
<START>	Swap	beans	O
Swap	beans	for	B-OLD
beans	for	tofu	O
for	tofu	<END>	B-NEW
<START>	Change	almond milk	O
Change	almond milk	to	B-OLD
almond milk	to	butter	O
to	butter	<END>	B-OLD
<START>	Use	butter	O
Use	butter	in	B-NEW
butter	in	place	O
in	place	of	B-NEW
place	of	sugar	O
of	sugar	<END>	B-NEW
<START>	Avoid	using	O
Avoid	using	onion	O
using	onion	<END>	B-OLD
<START>	Change	carrots	O
Change	carrots	to	B-OLD
carrots	to	rice	O
to	rice	<END>	B-OLD
<START>	Include	broccoli	O
Include	broccoli	to	B-NEW
broccoli	to	this	O
to	this	meal	O
this	meal	<END>	B-NEW
<START>	Can	you	O
Can	you	take	O
you	take	out	O
take	out	rice	O
out	rice	?	B-OLD
rice	?	<END>	I-OLD
<START>	Add	a	O
Add	a	bit	O
a	bit	of	O
bit	of	bacon	O
of	bacon	<END>	B-NEW
<START>	Id	rather	O
Id	rather	use	O
rather	use	tomatoes	O
use	tomatoes	than	B-NEW
tomatoes	than	beans	O
than	beans	<END>	B-NEW
<START>	Put	some	O
Put	some	cheese	O
some	cheese	in	B-NEW
cheese	in	the	O
in	the	recipe	O
the	recipe	<END>	O
<START>	Exchange	pasta	O
Exchange	pasta	for	B-OLD
pasta	for	peanuts	O
for	peanuts	<END>	B-NEW
<START>	Change	carrots	O
Change	carrots	to	B-OLD
carrots	to	beef	O
to	beef	<END>	B-OLD
<START>	Could	you	O
Could	you	add	O
you	add	carrots	O
add	carrots	?	B-NEW
carrots	?	<END>	I-NEW
<START>	Change	peanuts	O
Change	peanuts	to	B-OLD
peanuts	to	tomatoes	O
to	tomatoes	<END>	B-OLD
<START>	Put	some	O
Put	some	egg	O
some	egg	in	B-NEW
egg	in	the	O
in	the	recipe	O
the	recipe	<END>	O
<START>	I	dont	O
I	dont	want	O
dont	want	onion	O
want	onion	<END>	O
<START>	Swap	beef	O
Swap	beef	for	B-OLD
beef	for	yogurt	O
for	yogurt	<END>	B-NEW
<START>	Please	add	O
Please	add	spinach	O
add	spinach	<END>	B-NEW
<START>	Id	rather	O
Id	rather	use	O
rather	use	egg	O
use	egg	than	B-NEW
egg	than	chicken	O
than	chicken	<END>	B-NEW
<START>	Avoid	using	O
Avoid	using	broccoli	O
using	broccoli	<END>	B-OLD
<START>	Replace	carrots	O
Replace	carrots	with	B-OLD
carrots	with	peanuts	O
with	peanuts	<END>	B-NEW
<START>	Put	some	O
Put	some	beans	O
some	beans	in	B-NEW
beans	in	the	O
in	the	recipe	O
the	recipe	<END>	O
<START>	Also	,	O
Also	,	add	O
,	add	milk	O
add	milk	<END>	B-NEW
<START>	Id	rather	O
Id	rather	use	O
rather	use	butter	O
use	butter	than	B-NEW
butter	than	cheese	O
than	cheese	<END>	B-NEW
<START>	Use	honey	O
Use	honey	in	B-NEW
honey	in	place	O
in	place	of	B-NEW
place	of	onion	O
of	onion	<END>	B-NEW
<START>	Add	a	O
Add	a	bit	O
a	bit	of	O
bit	of	chicken	O
of	chicken	<END>	B-NEW
<START>	Id	rather	O
Id	rather	use	O
rather	use	milk	O
use	milk	than	B-NEW
milk	than	beef	O
than	beef	<END>	B-NEW
<START>	Please	skip	O
Please	skip	honey	O
skip	honey	<END>	B-OLD
<START>	No	bacon	O
No	bacon	,	B-OLD
bacon	,	please	I-OLD
,	please	<END>	O
<START>	Replace	tofu	O
Replace	tofu	with	B-OLD
tofu	with	flour	O
with	flour	<END>	B-NEW
<START>	Dont	add	O
Dont	add	lettuce	O
add	lettuce	<END>	B-NEW
<START>	Also	,	O
Also	,	add	O
,	add	tofu	O
add	tofu	<END>	B-NEW
<START>	Change	flour	O
Change	flour	to	B-OLD
flour	to	almond milk	O
to	almond milk	<END>	B-OLD
<START>	Try	using	O
Try	using	spinach	O
using	spinach	instead	O
spinach	instead	of	O
instead	of	rice	O
of	rice	<END>	B-OLD
<START>	I	dont	O
I	dont	want	O
dont	want	almond milk	O
want	almond milk	<END>	O
<START>	Could	you	O
Could	you	add	O
you	add	beef	O
add	beef	?	B-NEW
beef	?	<END>	I-NEW
<START>	Please	add	O
Please	add	beef	O
add	beef	<END>	B-NEW
<START>	Exchange	pasta	O
Exchange	pasta	for	B-OLD
pasta	for	honey	O
for	honey	<END>	B-NEW
<START>	Remove	broccoli	O
Remove	broccoli	<END>	B-OLD
<START>	Include	milk	O
Include	milk	to	B-NEW
milk	to	this	O
to	this	meal	O
this	meal	<END>	B-NEW
<START>	Id	rather	O
Id	rather	use	O
rather	use	pasta	O
use	pasta	than	B-NEW
pasta	than	yogurt	O
than	yogurt	<END>	B-NEW
<START>	Lets	add	O
Lets	add	yogurt	O
add	yogurt	<END>	B-NEW
<START>	I	prefer	O
I	prefer	without	O
prefer	without	sugar	O
without	sugar	<END>	B-OLD
<START>	Put	some	O
Put	some	butter	O
some	butter	in	B-NEW
butter	in	the	O
in	the	recipe	O
the	recipe	<END>	O
<START>	Change	flour	O
Change	flour	to	B-OLD
flour	to	spinach	O
to	spinach	<END>	B-OLD
<START>	Is	it	O
Is	it	okay	O
it	okay	to	O
okay	to	switch	O
to	switch	tomatoes	O
switch	tomatoes	with	B-OLD
tomatoes	with	tofu	O
with	tofu	?	B-NEW
tofu	?	<END>	I-NEW
<START>	Lets	add	O
Lets	add	peanuts	O
add	peanuts	<END>	B-NEW
<START>	Leave	out	O
Leave	out	the	O
out	the	garlic	O
the	garlic	<END>	B-OLD
<START>	Replace	flour	O
Replace	flour	with	B-OLD
flour	with	cheese	O
with	cheese	<END>	B-NEW
<START>	Avoid	using	O
Avoid	using	tofu	O
using	tofu	<END>	B-OLD
<START>	Can	I	O
Can	I	use	O
I	use	yogurt	O
use	yogurt	instead	B-NEW
yogurt	instead	of	O
instead	of	peanuts	O
of	peanuts	?	B-OLD
peanuts	?	<END>	I-OLD
<START>	Leave	out	O
Leave	out	the	O
out	the	broccoli	O
the	broccoli	<END>	B-OLD
<START>	Id	like	O
Id	like	to	O
like	to	add	O
to	add	carrots	O
add	carrots	<END>	B-NEW
<START>	Add	a	O
Add	a	bit	O
a	bit	of	O
bit	of	peanuts	O
of	peanuts	<END>	B-NEW
<START>	Please	skip	O
Please	skip	bacon	O
skip	bacon	<END>	B-OLD
<START>	Exchange	peanuts	O
Exchange	peanuts	for	B-OLD
peanuts	for	broccoli	O
for	broccoli	<END>	B-NEW
<START>	Put	some	O
Put	some	bacon	O
some	bacon	in	B-NEW
bacon	in	the	O
in	the	recipe	O
the	recipe	<END>	O
<START>	Please	skip	O
Please	skip	spinach	O
skip	spinach	<END>	B-OLD
<START>	Include	garlic	O
Include	garlic	to	B-NEW
garlic	to	this	O
to	this	meal	O
this	meal	<END>	B-NEW
<START>	Swap	chicken	O
Swap	chicken	for	B-OLD
chicken	for	spinach	O
for	spinach	<END>	B-NEW
